SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
514282,UNIWORTH INTERNATIONAL LTD.,Suspended,P,10.00,INE760D01015,Trading & Distributors,UNIIN,Equity,https://www.bseindia.com/stock-share-price/uniworth-international-ltd/uniin/514282/,Uniworth International ltd.,
514284,GEE KAY TEXTILES LTD.,Delisted,Z,10.00,NA,,GKAYTEX,Equity,https://www.bseindia.com/stock-share-price/gee-kay-textiles-ltd/gkaytex/514284/,Gee Kay Textiles Ltd.,
514286,ASHIMA LTD.,Active,B,10.00,INE440A01010,Other Textile Products,ASHIMASYN,Equity,https://www.bseindia.com/stock-share-price/ashima-ltd/ashimasyn/514286/,Ashima Ltd,431.62
514292,INDIAN POLYFINS LTD.,Delisted,P,10.00,NA,,INDPLYF,Equity,https://www.bseindia.com/stock-share-price/indian-polyfins-ltd/indplyf/514292/,Indian Polyfins Ltd,
514294,KAREEMS SPUN SILK LTD.,Delisted,P,10.00,NA,,KREMSPN,Equity,https://www.bseindia.com/stock-share-price/kareems-spun-silk-ltd/kremspn/514294/,Kareems Spun Silk Ltd.,
514296,Haryana Texprints (Overseas) Limited,Delisted,XD,1.00,INE206G01012,,HARYANATEX,Equity,https://www.bseindia.com/stock-share-price/haryana-texprints-(overseas)-limited/haryanatex/514296/,Haryana Texprints (Overseas) Limited,13.30
514298,INTEGRAL KNIT CO.LTD.,Delisted,P,10.00,NA,,INTEGRAL,Equity,https://www.bseindia.com/stock-share-price/integral-knit-coltd/integral/514298/,Integral Knit Co. Ltd.,3.48
514300,PIONEER EMBROIDERIES LTD.-$,Active,T,10.00,INE156C01018,Other Textile Products,PIONEEREMB,Equity,https://www.bseindia.com/stock-share-price/pioneer-embroideries-ltd/pioneeremb/514300/,Pioneer Embroideries Ltd.,149.40
514302,VIPPY SPINPRO LTD.,Active,XT,10.00,INE660D01017,Other Textile Products,VIPPYSP,Equity,https://www.bseindia.com/stock-share-price/vippy-spinpro-ltd/vippysp/514302/,Vippy Spinpro Ltd.,99.91
514304,S.KUMARS NATIONWIDE LTD.,Delisted,Z,10.00,INE772A01016,,SKUMARN,Equity,https://www.bseindia.com/stock-share-price/skumars-nationwide-ltd/skumarn/514304/,S.Kumars Nationwide Ltd.,69.89
514306,GARLON POLYFAB INDUSTRIES LTD.,Suspended,P,10.00,INE875E01019,Trading & Distributors,GARLNIN,Equity,https://www.bseindia.com/stock-share-price/garlon-polyfab-industries-ltd/garlnin/514306/,Garlon Polyfab Industries Ltd.,1.53
514308,HANJER FIBRES LTD.,Delisted,Z,10.00,INE053G01018,,HANJFIB,Equity,https://www.bseindia.com/stock-share-price/hanjer-fibres-ltd/hanjfib/514308/,Hanjer Fibres Ltd.,2.14
514310,PATODIA TEXTILE INDUSTRIES LTD.,Delisted,Z,10.00,NA,,PATEXTI,Equity,https://www.bseindia.com/stock-share-price/patodia-textile-industries-ltd/patexti/514310/,"Patodia Textile Industries Ltd.,",
514312,JAIHIND SYNTHETICS LTD.,Active,XT,10.00,INE156E01014,Other Textile Products,JAIHINDS,Equity,https://www.bseindia.com/stock-share-price/jaihind-synthetics-ltd/jaihinds/514312/,Jaihind Synthetics Ltd.,17.94
514314,YANGIR SYNTHETICS LTD.,Delisted,Z,10.00,NA,,YNGIRSY,Equity,https://www.bseindia.com/stock-share-price/yangir-synthetics-ltd/yngirsy/514314/,Yangir Synthetics Ltd.,
514316,RAGHUVIR SYNTHETICS LTD.,Active,X,1.00,INE969C01022,Other Textile Products,RAGHUSYN,Equity,https://www.bseindia.com/stock-share-price/raghuvir-synthetics-ltd/raghusyn/514316/,Raghuvir Synthetics Ltd.,484.96
514318,JATTASHANKAR INDUSTIES LTD.,Active,P,10.00,INE722N01014,Other Textile Products,JATTAINDUS,Equity,https://www.bseindia.com/stock-share-price/jattashankar-industies-ltd/jattaindus/514318/,Jattashankar Industries Limited,9.96
514322,KAMADGIRI FASHION LTD.-$,Active,X,10.00,INE535C01013,Other Textile Products,KAMADGIRI,Equity,https://www.bseindia.com/stock-share-price/kamadgiri-fashion-ltd/kamadgiri/514322/,Kamadgiri Fashion Limited,52.85
514324,OMNITEX INDUSTRIES (INDIA) LTD.,Active,XT,10.00,INE814D01010,Other Textile Products,OMNITEX,Equity,https://www.bseindia.com/stock-share-price/omnitex-industries-(india)-ltd/omnitex/514324/,Omnitex Industries (India) Ltd.,55.28
514326,PATSPIN INDIA LTD.,Active,XT,10.00,INE790C01014,Other Textile Products,PATSPINLTD,Equity,https://www.bseindia.com/stock-share-price/patspin-india-ltd/patspinltd/514326/,Patspin India Ltd.,37.10
