code,name,symbol,lot_size,underlying_type
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD,OFSS,200,EQ
542652,POLYCAB INDIA LTD,POLY,100,EQ
539268,SYNGENE INTERNATIONAL LTD,SYNG,1000,EQ
500488,ABBOTT INDIA LTD,ABOT,40,EQ
539876,Crompton Greaves Consumer Electricals Ltd,CGCL,1800,EQ
542216,Dalmia Bharat Ltd,DABL,250,EQ
532848,DELTA CORP LTD,DECL,3000,EQ
530005,INDIA CEMENTS LTD,INCL,2900,EQ
532644,J.K. CEMENT LTD,JKCL,250,EQ
533273,OBEROI REALTY LTD,OBRL,700,EQ
533179,PERSISTENT SYSTEMS LTD,PESL,100,EQ
500027,ATUL LTD,ATUL,75,EQ
532400,BIRLASOFT LIMITED,BSOT,1000,EQ
500085,CHAMBAL FERTILISERS AND CHEMICALS LTD,CFCL,1900,EQ
540222,LAURUS LABS LIMITED,LABS,1700,EQ
543066,SBI CARDS AND PAYMENT SERVICES LTD,SCPL,800,EQ
500002,ABB Ltd.,ABBL,125,EQ
540691,Aditya Birla Capital Ltd,ABCL,5400,EQ
500038,Balrampur Chini Mills Ltd.,BAML,1600,EQ
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD,GNFC,1300,EQ
513599,Hindustan Copper Ltd.,HIND,5300,EQ
532659,IDFC LTD,IDFL,5000,EQ
500483,TATA COMM,TACL,500,EQ
,S&P BSE SENSEX             ,BSX,10,IDX
,S&P BSE SENSEXN 50,SX50,25,IDX
,S&P BSE BANKEX,BKX,15,IDX
